seriesuid,probability,coordZ,coordY,coordX,d,h,w,is_fp,is_infundibulum,is_aneurysm,comments,additional_comments,new_d,new_h,new_w,new_z,new_x,new_y
1.2.826.0.1.3680043.8.498.10861392989814068464162274925958278728.nii.gz,0.8001266,142.2192,292.7887,238.18573,6.447623,9.971025,9.929064,,,1.0,"Right ICA PCOMM aneurysm, small",,,,,,,
1.2.826.0.1.3680043.8.498.10863499657940265441624573364151465623.nii.gz,0.87540036,98.73386,436.82123,378.41144,22.33258,24.063736,23.689713,,,1.0,"Very large true positive aneurysm, left ICA ophtalmic segment aneurysm, at the origin of the opthalmic artery",,,,,,,
1.2.826.0.1.3680043.8.498.10873695717258430495304098469954646795.nii.gz,0.8260399,149.13269,312.58228,263.93024,16.51614,22.999598,24.197603,,,1.0,"Right cavernous ICA aneurysm, broad necked/saccular.",,,,,,,
1.2.826.0.1.3680043.8.498.10883708862158237934217807665304994642.nii.gz,0.85263234,262.641,269.29462,297.9881,46.28971,19.072426,22.183975,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.10888065754423178862053907045443566649.nii.gz,0.81704503,137.0,338.0,298.0,7.402583,9.588736,8.343633,,,1.0,"Tiny aneurysm of the right ICA, PCOMM",,,,,,,
1.2.826.0.1.3680043.8.498.10920681334782090967327133178798765117.nii.gz,0.8521539,165.0,318.0,288.0,9.0,7.4876833,8.434377,,,1.0,Right ICA PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.10934247501385122444418879317492730564.nii.gz,0.81516826,15.3929405,443.82684,385.09348,31.848225,34.4857,31.786823,1.0,,,Part of the cervical spine,,,,,,,
1.2.826.0.1.3680043.8.498.11024186785729776851960279299394139142.nii.gz,0.88242453,122.77878,192.17384,378.5133,7.68456,10.401349,10.325292,1.0,,,Tentorial dural venous sinus,,,,,,,
1.2.826.0.1.3680043.8.498.11093411025320459607001037215554440047.nii.gz,0.8045734,83.50197,322.3844,349.0716,25.682095,30.48162,32.010727,,,,"Extracranial, ICA fusiform aneurysm",,,,,,,
1.2.826.0.1.3680043.8.498.11098780782340815507287784394577673659.nii.gz,0.8738028,159.09138,311.05682,316.94272,6.413372,7.544389,8.327224,,,1.0,Tiny right ICA PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11098780782340815507287784394577673659.nii.gz,0.83031964,174.6343,310.2446,377.33386,7.271248,7.973788,7.2071376,1.0,,,"Terminal left ICA, too small to ",,,,,,,
1.2.826.0.1.3680043.8.498.11098780782340815507287784394577673659.nii.gz,1.0,160.0,318.0,369.0,8.0,8.0,8.0,,,1.0,Tiny left ICA PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11124620497100588419622876719324296841.nii.gz,0.8448644,43.78293,321.5816,224.28394,15.715669,18.181894,17.808315,1.0,,,Extracranial finding,,,,,,,
1.2.826.0.1.3680043.8.498.11140749381284703697463059911059675843.nii.gz,0.8158536,186.85121,205.63533,392.65146,15.104008,16.216125,16.7147,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11180448265514413124616725422454637978.nii.gz,0.88949543,198.0,353.0,383.0,6.5,6.725697,6.2232256,,,1.0,"Very small left MCA aneurysm, M2 branch instead of the more typical bifurcation (could be a mycotic aneurysm)",,,,,,,
1.2.826.0.1.3680043.8.498.11180702896126949393854398686563453074.nii.gz,0.9178957,90.7271,428.15146,381.5518,27.224798,34.651276,29.736027,,,1.0,Fusiform dilatation of the proximal basilar artery. Could be an anatomical variation.,"Another GT here looks weird, check with GY",25.0,30.0,29.736027,89.0,386.0,430.0
1.2.826.0.1.3680043.8.498.11180702896126949393854398686563453074.nii.gz,0.86811686,193.75476,342.4505,428.8626,7.609084,8.381865,8.740687,1.0,,,Choroid plexus,12 00 4:24,,,,,,
1.2.826.0.1.3680043.8.498.11193171487119453434977809015247483388.nii.gz,0.8543749,173.57613,327.4034,242.84724,28.736551,38.005074,39.292114,,,1.0,REVIEW LATER WITH BETTER UI,,60.0,48.0,56.0,158.0,231.0,324.0
1.2.826.0.1.3680043.8.498.11193171487119453434977809015247483388.nii.gz,0.8350931,203.7844,184.59665,198.11395,8.081341,11.680562,12.717898,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11195078517196698761305795362083064507.nii.gz,0.8282837,91.38234,295.1174,428.1613,8.734737,11.833346,13.64121,1.0,,,"Extracranial, part of the ECA",,,,,,,
1.2.826.0.1.3680043.8.498.11198791437802468548828730795882522615.nii.gz,0.82819545,180.08182,201.0005,268.2863,21.615425,18.631332,23.180286,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.11283060280124241416746713304089513896.nii.gz,0.9048331,330.174,299.9156,302.01645,24.0,27.691717,32.0,,,1.0,"Complex tri-lobed basilar tip aneurysm, with a fusiform and a saccular component.",REPLACE THE GT  CHECK IF BOX IS OK,,,,,,
1.2.826.0.1.3680043.8.498.11283060280124241416746713304089513896.nii.gz,0.87522143,337.69708,328.4018,265.64825,5.5870996,7.415207,8.05362,,,1.0,Small right ICA PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11321418544117702275181808819624283917.nii.gz,0.8883987,240.98402,149.94003,275.48907,11.380713,9.624564,10.943896,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11321418544117702275181808819624283917.nii.gz,0.84889835,235.7843,155.40063,176.37715,10.472041,8.528209,11.0052,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11338876817962839639307338648743335890.nii.gz,0.82172424,176.14442,170.58585,416.9743,12.620694,13.666629,12.479892,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11344512662123420448614612981686811648.nii.gz,0.82953453,199.51227,254.62706,305.11996,15.099943,20.378138,20.273846,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.11362594742849845937638082003271998271.nii.gz,0.87593967,224.74652,247.01253,292.67526,13.862598,10.931298,9.970526,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11362594742849845937638082003271998271.nii.gz,0.8531779,84.51476,258.79224,345.4044,11.222328,8.240015,7.8636217,,,1.0,"Small aneurysm coming from the left PICA, unlike most PICA aneurysms which are in the origin, this one is somewhere else within the PICA",,,,,,,
1.2.826.0.1.3680043.8.498.11362594742849845937638082003271998271.nii.gz,0.81775135,144.91495,374.09833,272.50928,4.8849792,7.3593807,7.9226623,1.0,,,False positive calcification related to a portion of sphenoid bone next to the cavernous ICA.,GT nearby looks sus,,,,,,
1.2.826.0.1.3680043.8.498.11362594742849845937638082003271998271.nii.gz,0.80191606,268.0,406.0,315.0,4.900449,5.8595343,6.058537,,,1.0,Tiny left ACA A2 aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11383909720108976088603568430515273556.nii.gz,0.8233427,197.41942,288.9709,387.06052,6.823645,13.583529,11.249834,1.0,,,"Inusual choroid plexus anatomy, the choroid plexus is poking through the choroidal fissure",,,,,,,
1.2.826.0.1.3680043.8.498.11383909720108976088603568430515273556.nii.gz,0.80724585,203.64365,207.1916,326.99957,13.72013,29.772532,18.510891,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.11391946787693131198007014169799168235.nii.gz,0.85788816,192.58754,276.0674,230.88998,9.345107,11.918911,11.316445,1.0,,,Pineal gland calcification,,,,,,,
1.2.826.0.1.3680043.8.498.11408922694550763228909918276799474464.nii.gz,0.9202101,228.54645,197.04831,192.42847,14.973836,12.087343,11.164196,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11408922694550763228909918276799474464.nii.gz,0.8907798,238.97981,193.03662,258.54517,38.94413,25.791975,24.12148,1.0,,,Vein of Galen,GT nearby looks sus,,,,,,
1.2.826.0.1.3680043.8.498.11416244241210150189281248953289508283.nii.gz,0.8067714,137.0,299.0,267.0,14.0,12.0,11.99414,,,1.0,Either a basilar tip aneurysm or it's a unusual patulous basilar tip,VERIFY,,,,,,
1.2.826.0.1.3680043.8.498.11431853092322033942451801825977553068.nii.gz,0.8833309,138.64822,341.50494,306.7447,6.5180807,6.5700774,6.7282047,,,1.0,Left ICA cavernous segment aneurysm projected toward the left,,,,,,,
1.2.826.0.1.3680043.8.498.11431853092322033942451801825977553068.nii.gz,0.80776584,158.0,337.0,293.0,7.268298,10.0,8.678831,,,1.0,Aneurysm arising from the PCA at the P1-P2 junction,,,,,,,
1.2.826.0.1.3680043.8.498.11466016618035234391071120016712127446.nii.gz,0.8021704,210.5291,284.20428,270.0614,29.58747,24.346739,24.84809,1.0,,,Choroid plexus with calcification,,,,,,,
1.2.826.0.1.3680043.8.498.11479005683427488583403034382744140003.nii.gz,0.82340986,111.03113,341.47205,288.627,4.8261585,6.121949,6.785343,,,1.0,Tiny right PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11507335675495572698520475400694364907.nii.gz,0.8240697,55.405277,200.3052,219.65982,12.659382,15.534449,15.799334,1.0,,,Extracranial vein ,,,,,,,
1.2.826.0.1.3680043.8.498.11523459811242391588952956562902023978.nii.gz,0.81675833,139.80827,344.78824,312.5517,6.1285267,6.479253,7.6936374,,1.0,,Slightly enlarged left ACA A2 segment infundibulum,,,,,,,
1.2.826.0.1.3680043.8.498.11527986509512933171256788651291467752.nii.gz,0.8391918,151.95361,356.69873,341.36005,11.227518,12.085619,10.621323,,,1.0,"Superclinoid ICA aneurysm, close to a left PCOMM aneurysm and another tinier aneurysm",,,,,,,
1.2.826.0.1.3680043.8.498.11527986509512933171256788651291467752.nii.gz,0.8144408,363.6761,294.65662,222.59552,42.08498,53.26151,62.988552,1.0,,,Little dots of higher density in the skull,,,,,,,
1.2.826.0.1.3680043.8.498.11529975087860458425195342382849199574.nii.gz,0.8886416,108.00975,514.80664,351.34192,42.339924,60.635178,63.311424,1.0,,,"Huge meningioma  arising from the anterior clinoid process, growing from the dura",,,,,,,
1.2.826.0.1.3680043.8.498.11529975087860458425195342382849199574.nii.gz,0.88158846,71.47669,512.02765,415.58,52.294376,64.5112,62.57903,1.0,,,"Huge meningioma  arising from the anterior clinoid process, growing from the dura",,,,,,,
1.2.826.0.1.3680043.8.498.11553710245477993984816277203712389062.nii.gz,0.902878,134.0,399.0,325.13007,10.226435,11.6605015,11.343832,,,1.0,"Aneurysm of the right superclinoid ICA, projects upward and lateral, has calcification close.",REPLACE GT!!,,,,,,
1.2.826.0.1.3680043.8.498.11655725595268673512880668156523035858.nii.gz,0.8595681,115.01216,289.31146,290.4833,8.054836,9.3280115,9.264076,,,1.0,Left ICA PCOMM aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11663860581439464349118577966262696705.nii.gz,0.8287182,91.98016,430.51315,364.92102,5.7616954,7.300601,8.749227,1.0,,,Skull base bone.,,,,,,,
1.2.826.0.1.3680043.8.498.11740249008349915769389459212243082736.nii.gz,0.8278169,162.0,251.0,280.0,10.0,10.0,10.0,,,1.0,Basilar tip aneurysm projecting laterally and inferiorily,REPLACE GT,,,,,,
1.2.826.0.1.3680043.8.498.11740249008349915769389459212243082736.nii.gz,0.8024826,207.13974,170.22548,352.435,30.965948,23.1308,25.439747,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11746560050484688437744257160999900072.nii.gz,0.88490635,170.72359,479.72656,351.65665,47.036465,65.15968,63.556778,1.0,,,Frontal lobe of the brain in a patient with hydrocephalus brain and encephalomalacia,,,,,,,
1.2.826.0.1.3680043.8.498.11746560050484688437744257160999900072.nii.gz,0.8745227,106.78278,192.42982,256.60672,46.02971,65.9236,65.84617,1.0,,,Cerebelum,,,,,,,
1.2.826.0.1.3680043.8.498.11746560050484688437744257160999900072.nii.gz,0.8511319,155.0,372.0,293.0,8.0,8.0,8.0,,,1.0,Slightly distal aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11746560050484688437744257160999900072.nii.gz,0.80966514,43.25555,253.85518,318.59512,45.909107,61.613976,62.681538,1.0,,,FP,,,,,,,
1.2.826.0.1.3680043.8.498.11746560050484688437744257160999900072.nii.gz,0.8065414,403.6493,266.11002,436.15796,31.1795,42.763367,39.66965,,,,Artifact,,,,,,,
1.2.826.0.1.3680043.8.498.11821446229980500432989393232863242415.nii.gz,0.82815987,132.34283,426.66022,360.15295,5.933705,6.5812397,7.8169284,,,1.0,Left ACA PICOMM aneurysm projecting to the right,,,,,,,
1.2.826.0.1.3680043.8.498.11831904086121221806962026362910045658.nii.gz,0.9118786,204.60136,248.03302,298.38895,27.396433,19.552988,20.250004,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.11831904086121221806962026362910045658.nii.gz,0.86652815,200.40556,265.52097,257.13373,9.706027,10.36132,9.427946,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.11832091461648078127260130313224720578.nii.gz,0.85912365,164.0,343.0,179.0,7.751634,6.997737,7.8559494,,,1.0,Tiny right MCA bifurcation aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.11850512154293725455486276776718032997.nii.gz,0.82381314,207.6529,214.47888,275.767,40.522697,22.014639,24.922853,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.11850512154293725455486276776718032997.nii.gz,0.82134944,255.63792,427.82196,313.13678,41.054543,23.821438,17.08736,1.0,,,Calcification arising along the falx (in the dura),,,,,,,
1.2.826.0.1.3680043.8.498.11872124714911137985543966357359435459.nii.gz,0.838217,47.9535,323.98758,438.3343,32.613567,32.228436,20.698069,1.0,,,Extracranial  vein,,,,,,,
1.2.826.0.1.3680043.8.498.11891384661160041525105783578394676695.nii.gz,0.9527086,218.71152,598.03125,491.23724,7.9460993,8.5384,7.3428884,,,1.0,"Left MCA bifurcation aneurysm, anterior and laterally projecting",,,,,,,
1.2.826.0.1.3680043.8.498.11940368429225231906526358808924714901.nii.gz,0.9774705,179.0,352.0,276.0,10.0,9.482249,10.173173,,,1.0,Right ACA A1-A2 aneurysm which projects left,,,,,,,
1.2.826.0.1.3680043.8.498.11940368429225231906526358808924714901.nii.gz,0.9369265,144.74005,346.58575,259.94446,13.892485,18.451853,19.556843,,,1.0,"Right superclinoid ICA aneurysm projecting posteriorily, medially, and inferiorily ",REPLACE GT,,,,,,
1.2.826.0.1.3680043.8.498.11972632345617138006972376746856981442.nii.gz,0.80632967,249.96553,448.26495,302.90668,33.961666,21.68405,15.969345,1.0,,,Another falk calcification,,,,,,,
1.2.826.0.1.3680043.8.498.11973223775938034504881778923404981232.nii.gz,0.82449555,164.85161,345.50266,355.39832,12.010665,13.378288,18.265945,,,1.0,Patulous basilar tip anatomic variant or basilar tip aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.12013973639047348546523188763695352068.nii.gz,0.83920854,181.0,406.0,272.0,7.8149858,9.064265,7.9133563,,,1.0,Right ACA aneurysm ,,,,,,,
1.2.826.0.1.3680043.8.498.12039664798814930566539880948843057099.nii.gz,0.89907044,111.505356,154.9001,457.11,30.769312,46.724705,41.51292,,,,Artifact,,,,,,,
1.2.826.0.1.3680043.8.498.12039664798814930566539880948843057099.nii.gz,0.85839003,202.50633,351.75626,441.44113,20.014217,27.881105,19.92239,1.0,,,"Vein of Galen, anatomical variant where it's a little narrower and gets wider",,,,,,,
1.2.826.0.1.3680043.8.498.12054446295483371070677223814308864707.nii.gz,0.81169844,8.763867,292.12457,384.62845,9.675515,8.371371,9.2120905,1.0,,,Extracranial ,,,,,,,
1.2.826.0.1.3680043.8.498.12108454191368006573588964405134111594.nii.gz,0.83335865,225.29025,196.67091,253.3981,14.478096,22.148699,20.062305,1.0,,,Vein of Galen,,,,,,,
1.2.826.0.1.3680043.8.498.12140455131248066497632485642004879217.nii.gz,0.82798636,165.53954,327.02768,378.53146,7.9071007,10.132115,9.393404,1.0,,,"Pineal gland, enhanced",,,,,,,
1.2.826.0.1.3680043.8.498.12176111197034809738592801745302205454.nii.gz,0.86106634,170.35002,245.57866,292.9147,7.634905,12.2068205,12.129426,1.0,,,Choroid plexus,,,,,,,
1.2.826.0.1.3680043.8.498.12180552386746360147901020901436537667.nii.gz,0.84726137,174.56305,264.10812,193.34952,7.2393765,7.4497995,8.932855,,,1.0,Right ICA PCOMM aneurysm vs infundibulum,,,,,,,
1.2.826.0.1.3680043.8.498.12180552386746360147901020901436537667.nii.gz,0.83983904,193.44249,261.64532,238.74777,7.5654798,6.886288,7.078154,1.0,,,Tiny vein next to the ACA,,,,,,,
1.2.826.0.1.3680043.8.498.12250679741004709644926774341016371704.nii.gz,0.90999335,54.13256,354.40228,207.30147,18.66626,20.152111,21.51606,,,,Extracranial vessel aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.12250679741004709644926774341016371704.nii.gz,0.8931115,54.967186,337.11652,409.81583,19.928303,24.616068,23.152317,,,,Extracranial vessel aneurysm,,,,,,,
1.2.826.0.1.3680043.8.498.12250679741004709644926774341016371704.nii.gz,0.82572615,214.05936,217.0729,305.33075,16.682478,15.3161335,14.614039,1.0,,,Vein of Galen,,,,,,,
