SeriesInstanceUID,SOPInstanceUID,RescaleSlope,RescaleIntercept,MinVal,MaxVal,TopLeft
1.2.826.0.1.3680043.8.498.59573491850903233798588691266317116105,1.2.826.0.1.3680043.8.498.12422768914151660037469256443402512106,1.0,-1024.0,-1024,1887,-1024
1.2.826.0.1.3680043.8.498.48430401222571498800102152286929320010,1.2.826.0.1.3680043.8.498.10225986856760579580545191270688242710,1.0,-1024.0,-1024,1738,-1024
1.2.826.0.1.3680043.8.498.50225492481619106877061615742941299469,1.2.826.0.1.3680043.8.498.76192950462610589803541052194741648307,1.0,-1024.0,-1024,1768,-998
1.2.826.0.1.3680043.8.498.44307226922118927848453494136198068182,1.2.826.0.1.3680043.8.498.36973583443855684112904300566429825528,1.0,-1024.0,-1024,1361,-994
1.2.826.0.1.3680043.8.498.61385312260496212327128981964326380939,1.2.826.0.1.3680043.8.498.12402440418868277840506034488733434462,1.0,-1024.0,-1024,1895,-1024
1.2.826.0.1.3680043.8.498.44759787826643682749003517202115793631,1.2.826.0.1.3680043.8.498.67620077686524846013960150135931343417,1.0,-1024.0,-1024,1867,-1001
1.2.826.0.1.3680043.8.498.46066485190118402291151638323539265975,1.2.826.0.1.3680043.8.498.83041195434434838216014327506365077204,1.0,-1024.0,-1024,1715,-998
1.2.826.0.1.3680043.8.498.46220103272693308023432315673825922654,1.2.826.0.1.3680043.8.498.31455672941907987736270735134173030772,1.0,-1024.0,-1024,1831,-998
1.2.826.0.1.3680043.8.498.48430401222571498800102152286929320010,1.2.826.0.1.3680043.8.498.10225986856760579580545191270688242710,1.0,-1024.0,-1024,1738,-1024
1.2.826.0.1.3680043.8.498.61052248196917647851791162243240112059,1.2.826.0.1.3680043.8.498.45427522185542779050531835527385520845,1.0,-1024.0,-1024,2022,-1004
1.2.826.0.1.3680043.8.498.61052248196917647851791162243240112059,1.2.826.0.1.3680043.8.498.11205092352726966163577988028894799644,1.0,-1024.0,-1024,1652,-1002
1.2.826.0.1.3680043.8.498.61052248196917647851791162243240112059,1.2.826.0.1.3680043.8.498.77667070836307823785170141378707310888,1.0,-1024.0,-1024,1685,-999
1.2.826.0.1.3680043.8.498.61006352536652030385602875249924520663,1.2.826.0.1.3680043.8.498.93176860518555639029769532672447112055,1.0,-1024.0,-1024,2376,-1002
1.2.826.0.1.3680043.8.498.50074230080723551004767443586290080443,1.2.826.0.1.3680043.8.498.69010617914290450165267197045342174977,1.0,-1024.0,-1024,1840,-1024
1.2.826.0.1.3680043.8.498.56631565457717021899783801563858709864,1.2.826.0.1.3680043.8.498.12552525010463099934875915122842813334,1.0,0.0,-1024,2388,-1024
1.2.826.0.1.3680043.8.498.56631565457717021899783801563858709864,1.2.826.0.1.3680043.8.498.72179633135508208161150005611526552352,1.0,0.0,-1024,3435,-1024
1.2.826.0.1.3680043.8.498.54376179969471036242570105782735648119,1.2.826.0.1.3680043.8.498.91205948911226142777469456609520433968,1.0,-1024.0,-1024,3071,-999
1.2.826.0.1.3680043.8.498.54842744527557775526326812986426236552,1.2.826.0.1.3680043.8.498.21206295475986929976138292692070915519,1.0,-1024.0,-1024,1637,-1002
1.2.826.0.1.3680043.8.498.54946536871644307161766767010831996806,1.2.826.0.1.3680043.8.498.25293802515991860645396886933340180207,1.0,-1024.0,-1024,3070,-993
1.2.826.0.1.3680043.8.498.56742619731001147300393842609970325394,1.2.826.0.1.3680043.8.498.11248612045684315301875054693779333915,1.0,-1024.0,-1024,1877,-1024
1.2.826.0.1.3680043.8.498.56328756943752737540511573730702708506,1.2.826.0.1.3680043.8.498.13247807321347407915286501714474885875,1.0,-1024.0,-1024,1880,-1024
1.2.826.0.1.3680043.8.498.56631565457717021899783801563858709864,1.2.826.0.1.3680043.8.498.50821544419448805152577351750273208948,1.0,0.0,-1024,1403,-1024
1.2.826.0.1.3680043.8.498.55964269279448057565698675928709130155,1.2.826.0.1.3680043.8.498.83884231822125393543662623008248850935,1.0,-1024.0,-1024,1592,-994
1.2.826.0.1.3680043.8.498.56631565457717021899783801563858709864,1.2.826.0.1.3680043.8.498.10391971025146008526665055858699703914,1.0,0.0,-1024,2385,-1024
1.2.826.0.1.3680043.8.498.55964269279448057565698675928709130155,1.2.826.0.1.3680043.8.498.56203731334263403897205103080379226565,1.0,-1024.0,-1024,1562,-1009
1.2.826.0.1.3680043.8.498.55964269279448057565698675928709130155,1.2.826.0.1.3680043.8.498.50211932885459741455562226130457244771,1.0,-1024.0,-1024,1559,-993
1.2.826.0.1.3680043.8.498.54376179969471036242570105782735648119,1.2.826.0.1.3680043.8.498.34909360330282726091832819421867330400,1.0,-1024.0,-1024,3070,-1003
1.2.826.0.1.3680043.8.498.44114368799243556861821948549151753013,1.2.826.0.1.3680043.8.498.24640123166214444566486626657084047077,1.0,-1024.0,-1024,2033,-999
1.2.826.0.1.3680043.8.498.53947155422591684879953627516013605305,1.2.826.0.1.3680043.8.498.11524758189443104592768423270716593624,1.0,-1024.0,-1024,2230,-1000
1.2.826.0.1.3680043.8.498.50566332014953466584692099043799742978,1.2.826.0.1.3680043.8.498.38785125533329324277325398104997642666,1.0,-1024.0,-1024,1993,-1004
1.2.826.0.1.3680043.8.498.51249992500610276897042854660773104732,1.2.826.0.1.3680043.8.498.51992382948772431703155069872990381203,1.0,-1024.0,-1024,1705,-1008
1.2.826.0.1.3680043.8.498.59150546058906697383274659656926578781,1.2.826.0.1.3680043.8.498.15359114073047210635860073317983919256,1.0,-1024.0,-1024,1697,-1000
1.2.826.0.1.3680043.8.498.51348218762524412674260133592510642248,1.2.826.0.1.3680043.8.498.29507682543211301825090324537625676968,1.0,-1024.0,-1024,1709,-1024
1.2.826.0.1.3680043.8.498.51348218762524412674260133592510642248,1.2.826.0.1.3680043.8.498.20827945146533182900732239546343930062,1.0,-1024.0,-1024,1689,-1024
1.2.826.0.1.3680043.8.498.51390554904758213032957793228713956294,1.2.826.0.1.3680043.8.498.87373831862052459137278925419193282453,1.0,-1024.0,-1024,2913,-998
1.2.826.0.1.3680043.8.498.58846672808592864942047385190246151832,1.2.826.0.1.3680043.8.498.98241426578907101688891850350052707509,1.0,-1024.0,-1024,2330,-1000
1.2.826.0.1.3680043.8.498.58549969738343830674191276257014554723,1.2.826.0.1.3680043.8.498.28548265740205494532904310671549934544,1.0,-1024.0,-1024,1892,-1002
1.2.826.0.1.3680043.8.498.57159501677645273844546617115034978822,1.2.826.0.1.3680043.8.498.26152643105271048232753334347794011009,1.0,-1024.0,-1024,1899,-1001
1.2.826.0.1.3680043.8.498.43666101595021509233819772876051735387,1.2.826.0.1.3680043.8.498.83008335518125497254780640510384771073,1.0,-1024.0,-1024,1976,-1002
1.2.826.0.1.3680043.8.498.43666101595021509233819772876051735387,1.2.826.0.1.3680043.8.498.95350808342861583777674054570906288153,1.0,-1024.0,-1024,1942,-994
1.2.826.0.1.3680043.8.498.26773574285535517522032206464052720717,1.2.826.0.1.3680043.8.498.11013699245414068303680617978017705365,1.0,-1024.0,-1024,1881,-1006
1.2.826.0.1.3680043.8.498.27094654906242705110427224152925000573,1.2.826.0.1.3680043.8.498.31543781729025803896675132457559694586,1.0,-1024.0,-1024,2406,-993
1.2.826.0.1.3680043.8.498.27185366869614238248230958352159352215,1.2.826.0.1.3680043.8.498.47279234170284424084165731064275756118,1.0,-1024.0,-1024,1774,-997
1.2.826.0.1.3680043.8.498.27403461870424905658058353040864971301,1.2.826.0.1.3680043.8.498.13228194347896380427670255914905706521,1.0,-1024.0,-1024,1939,-1024
1.2.826.0.1.3680043.8.498.28017317591886862097172769282552869885,1.2.826.0.1.3680043.8.498.75733820151570222893388962630237736835,1.0,-1024.0,-1024,1655,-1000
1.2.826.0.1.3680043.8.498.30382038892861475256988022466368547467,1.2.826.0.1.3680043.8.498.12964171065154014269484712636253928804,1.0,0.0,-1024,567,-1024
1.2.826.0.1.3680043.8.498.30671133208896769791936731163091433513,1.2.826.0.1.3680043.8.498.11174359971488091961697714892689223563,1.0,-1024.0,-1024,3071,-1001
1.2.826.0.1.3680043.8.498.30963599417724875802280664914474351971,1.2.826.0.1.3680043.8.498.76045895909929889682390903629602292798,1.0,-1024.0,-1024,1831,-1024
1.2.826.0.1.3680043.8.498.30963599417724875802280664914474351971,1.2.826.0.1.3680043.8.498.12220616830019276695972463164872536799,1.0,-1024.0,-1024,1783,-1024
1.2.826.0.1.3680043.8.498.31083656060060172425554443505438892254,1.2.826.0.1.3680043.8.498.74015050281921399638465616404746991266,1.0,-1024.0,-1024,1867,-1000
1.2.826.0.1.3680043.8.498.31904828817762133812005787429884769693,1.2.826.0.1.3680043.8.498.91937274633626301105510600051629681428,1.0,-1024.0,-1024,1813,-1008
1.2.826.0.1.3680043.8.498.32210685180419121917365014013631244692,1.2.826.0.1.3680043.8.498.40550024156034389188263743831371838745,1.0,-1024.0,-1024,1934,-999
1.2.826.0.1.3680043.8.498.32400157337598361427602672776796104004,1.2.826.0.1.3680043.8.498.50780206439336477055617430714910549236,1.0,0.0,-1024,423,-1024
1.2.826.0.1.3680043.8.498.26521092618147192601609883985391600723,1.2.826.0.1.3680043.8.498.12615802748024750745076238883825446926,1.0,-1024.0,-1024,1845,-1007
1.2.826.0.1.3680043.8.498.26521092618147192601609883985391600723,1.2.826.0.1.3680043.8.498.99485802245826204705984554458039922011,1.0,-1024.0,-1024,1916,-1008
1.2.826.0.1.3680043.8.498.25749566243799256459250628035160239847,1.2.826.0.1.3680043.8.498.12221090055550660522237648837027980808,1.0,-1024.0,-1024,3071,-1001
1.2.826.0.1.3680043.8.498.20352838605781624312895197978664744075,1.2.826.0.1.3680043.8.498.12589320227431678004474026536973971670,1.0,-1024.0,-1024,1824,-989
1.2.826.0.1.3680043.8.498.20526322785793370336302397271340610131,1.2.826.0.1.3680043.8.498.18044728014214204050225814680857545204,1.0,-1024.0,-1024,1723,-998
1.2.826.0.1.3680043.8.498.20526322785793370336302397271340610131,1.2.826.0.1.3680043.8.498.50226031335126206987087905653089694461,1.0,-1024.0,-1024,1685,-1004
1.2.826.0.1.3680043.8.498.20979964870558122513140407598441297537,1.2.826.0.1.3680043.8.498.44299020784019830233189228775797704528,1.0,-1024.0,-1024,1869,-1005
1.2.826.0.1.3680043.8.498.21004106426734635526381567602936015568,1.2.826.0.1.3680043.8.498.11270190017169257844609913461856897123,1.0,-1024.0,-1024,1590,-995
1.2.826.0.1.3680043.8.498.22006495710677078041480655035619552657,1.2.826.0.1.3680043.8.498.12580246395053064854638254536486046775,1.0,-1024.0,-1024,1954,-999
1.2.826.0.1.3680043.8.498.23234944999689661991027565751340886081,1.2.826.0.1.3680043.8.498.10600106088222100397985186416673984758,1.0,-1024.0,-1024,1671,-1020
1.2.826.0.1.3680043.8.498.23470108024528750393135858983064892072,1.2.826.0.1.3680043.8.498.12230272846059895636196117733766483421,1.0,-1024.0,-1024,2776,-1002
1.2.826.0.1.3680043.8.498.24508633571793119574369737735143222453,1.2.826.0.1.3680043.8.498.43914659111809562065732096038402613067,1.0,-1024.0,-1024,1863,-1024
1.2.826.0.1.3680043.8.498.24861411252246090829297634560774230113,1.2.826.0.1.3680043.8.498.34570803254364349145508927536472862952,1.0,-1024.0,-1024,1632,-991
1.2.826.0.1.3680043.8.498.24861411252246090829297634560774230113,1.2.826.0.1.3680043.8.498.13126862999605077123041673942128950740,1.0,-1024.0,-1024,1635,-987
1.2.826.0.1.3680043.8.498.24861411252246090829297634560774230113,1.2.826.0.1.3680043.8.498.24610422180121431461910038887385778626,1.0,-1024.0,-1024,1534,-1004
1.2.826.0.1.3680043.8.498.39319917305377952606345608496220657998,1.2.826.0.1.3680043.8.498.11964740659691427196823513684364736952,1.0,-1024.0,-1024,1773,-1024
1.2.826.0.1.3680043.8.498.39558983322247662212534890088755356421,1.2.826.0.1.3680043.8.498.12902617220112027468129639699613384022,1.0,-1024.0,-1024,1943,-998
1.2.826.0.1.3680043.8.498.37171530448157364664585966593614700332,1.2.826.0.1.3680043.8.498.52197695386755470445464410271475802810,1.0,-1024.0,-1024,2522,-1008
1.2.826.0.1.3680043.8.498.41191056905394412588529538708159093281,1.2.826.0.1.3680043.8.498.12222651151696227990331461131666027027,1.0,-1024.0,-1024,1680,-993
1.2.826.0.1.3680043.8.498.41726490859735127648528963840193429447,1.2.826.0.1.3680043.8.498.12823459124232618510741641349367387498,1.0,-1024.0,-1024,2305,-999
1.2.826.0.1.3680043.8.498.41726490859735127648528963840193429447,1.2.826.0.1.3680043.8.498.12823459124232618510741641349367387498,1.0,-1024.0,-1024,2305,-999
1.2.826.0.1.3680043.8.498.62690866817595040372272270948444876445,1.2.826.0.1.3680043.8.498.92196477804251419824639948087165475464,1.0,-1024.0,-1024,1833,-1005
1.2.826.0.1.3680043.8.498.42004210211179540328144531819775156287,1.2.826.0.1.3680043.8.498.38137261504110267374660737003260369032,1.0,-1024.0,-1024,2362,-995
1.2.826.0.1.3680043.8.498.43151672661583424229274822229855880536,1.2.826.0.1.3680043.8.498.56541753708623321320690160935849105394,1.0,-1024.0,-1024,1835,-1015
1.2.826.0.1.3680043.8.498.43368901649738510387280458806944013459,1.2.826.0.1.3680043.8.498.10988504515085062671929811086697259552,1.0,-1024.0,-1024,2255,-1005
1.2.826.0.1.3680043.8.498.43536331102142701793144520859521601945,1.2.826.0.1.3680043.8.498.10909940683444003586203468268947455605,1.0,-1024.0,-1024,1719,-1000
1.2.826.0.1.3680043.8.498.37119176599927482836108190997245956253,1.2.826.0.1.3680043.8.498.59782948814700419685393736395891961016,1.0,-1024.0,-1024,2033,-1024
1.2.826.0.1.3680043.8.498.32967768908836964348503456093800460243,1.2.826.0.1.3680043.8.498.29151149661448862846472795915390458014,1.0,-1024.0,-1024,2227,-998
1.2.826.0.1.3680043.8.498.35656349678574802393224461085662501746,1.2.826.0.1.3680043.8.498.56122257032297709513401950042571001399,1.0,-1024.0,-1024,1712,-994
1.2.826.0.1.3680043.8.498.33282611756602598852430428761051388617,1.2.826.0.1.3680043.8.498.11253202207296845435543194834407682330,1.0,-1024.0,-1024,1937,-1006
1.2.826.0.1.3680043.8.498.34355786306451031225469408806686268285,1.2.826.0.1.3680043.8.498.98204891534000072510279047098665453640,1.0,-1024.0,-1024,1846,-1024
1.2.826.0.1.3680043.8.498.34802588129024719779720167752927019812,1.2.826.0.1.3680043.8.498.29238975268954768717956324404356816384,1.0,-1024.0,-1024,2028,-983
1.2.826.0.1.3680043.8.498.35656349678574802393224461085662501746,1.2.826.0.1.3680043.8.498.70420028135031079631356696408972377470,1.0,-1024.0,-1024,1873,-992
1.2.826.0.1.3680043.8.498.35656349678574802393224461085662501746,1.2.826.0.1.3680043.8.498.13383326086162903649399903816810979228,1.0,-1024.0,-1024,1874,-984
1.2.826.0.1.3680043.8.498.35656349678574802393224461085662501746,1.2.826.0.1.3680043.8.498.31721164853209902932163185102255234188,1.0,-1024.0,-1024,1695,-993
1.2.826.0.1.3680043.8.498.35811673995411760132717372266236954896,1.2.826.0.1.3680043.8.498.10984095566965062717120247770638079679,1.0,-1024.0,-1024,2059,-1003
1.2.826.0.1.3680043.8.498.36193013212985181186448240191973890918,1.2.826.0.1.3680043.8.498.12074627320364021871539169897513898839,1.0,-1024.0,-1024,1799,-1006
1.2.826.0.1.3680043.8.498.36812477383471426955018819718039365550,1.2.826.0.1.3680043.8.498.41311190585799636275620674250439713720,1.0,-1024.0,-1024,1841,-1024
1.2.826.0.1.3680043.8.498.36845430523040232991469219119481541398,1.2.826.0.1.3680043.8.498.10381544382793464142310689374668552629,1.0,-1024.0,-1024,2751,-1005
1.2.826.0.1.3680043.8.498.36845430523040232991469219119481541398,1.2.826.0.1.3680043.8.498.71095104085019821736476919327346337297,1.0,-1024.0,-1024,2761,-1002
1.2.826.0.1.3680043.8.498.36845430523040232991469219119481541398,1.2.826.0.1.3680043.8.498.10732131624558971748787454004928412778,1.0,-1024.0,-1024,2823,-997
1.2.826.0.1.3680043.8.498.65578167361567865714461559224864896799,1.2.826.0.1.3680043.8.498.45155526994396924737309068476150096447,1.0,-1024.0,-1024,1819,-999
1.2.826.0.1.3680043.8.498.62704864874898708774201700721406023161,1.2.826.0.1.3680043.8.498.72431912378705360342039434284803856611,1.0,-1024.0,-1024,1796,-1024
1.2.826.0.1.3680043.8.498.88042533054564234043964284664062266483,1.2.826.0.1.3680043.8.498.47540023925961632867604334877357503467,1.0,-1024.0,-1024,1862,-1009
1.2.826.0.1.3680043.8.498.87793717347274644321991233773637029287,1.2.826.0.1.3680043.8.498.28778945261848452783279983678714785906,1.0,-1024.0,-1024,1856,-1001
1.2.826.0.1.3680043.8.498.87793717347274644321991233773637029287,1.2.826.0.1.3680043.8.498.71990114535328879641684507368159369135,1.0,-1024.0,-1024,1881,-996
1.2.826.0.1.3680043.8.498.87793717347274644321991233773637029287,1.2.826.0.1.3680043.8.498.69812087402465460767904230312622555707,1.0,-1024.0,-1024,1859,-993
1.2.826.0.1.3680043.8.498.87793717347274644321991233773637029287,1.2.826.0.1.3680043.8.498.67318922563216861742999489434202351034,1.0,-1024.0,-1024,1859,-999
1.2.826.0.1.3680043.8.498.87794163393266428648659243169230666286,1.2.826.0.1.3680043.8.498.13373626602974627515536518206879226259,1.0,0.0,-1024,740,-1024
1.2.826.0.1.3680043.8.498.88000338477467543859416395437689292355,1.2.826.0.1.3680043.8.498.29404777826796781601595728275103553500,1.0,-1024.0,-1024,2088,-1000
1.2.826.0.1.3680043.8.498.88383459523735419878882278918207496904,1.2.826.0.1.3680043.8.498.11117004638709834699691859472642100283,1.0,0.0,-1024,276,-1024
1.2.826.0.1.3680043.8.498.88383459523735419878882278918207496904,1.2.826.0.1.3680043.8.498.11117004638709834699691859472642100283,1.0,0.0,-1024,276,-1024
1.2.826.0.1.3680043.8.498.88573209917890610446820507748453840415,1.2.826.0.1.3680043.8.498.37262469331642765963444286765344977395,1.0,-1024.0,-1024,2350,-1008
1.2.826.0.1.3680043.8.498.88594690976723668476988084326754337922,1.2.826.0.1.3680043.8.498.17036661525240253300603950664961950947,1.0,0.0,-1024,2759,-1024
1.2.826.0.1.3680043.8.498.88807255181437734649495468921314140645,1.2.826.0.1.3680043.8.498.10533015096518756769521898174485458237,1.0,-1024.0,-1024,2081,-996
1.2.826.0.1.3680043.8.498.89605985568175294266551393553291853751,1.2.826.0.1.3680043.8.498.13196942895563685324508188988780066162,1.0,-1024.0,-1024,2364,-1002
1.2.826.0.1.3680043.8.498.86319927242404542238601724247018344095,1.2.826.0.1.3680043.8.498.66740064361286069880118260596440125397,1.0,0.0,-1024,295,-1024
1.2.826.0.1.3680043.8.498.62704864874898708774201700721406023161,1.2.826.0.1.3680043.8.498.10091877368082369889210202615618227857,1.0,-1024.0,-1024,1731,-1024
1.2.826.0.1.3680043.8.498.82790584481341849512415082117810101954,1.2.826.0.1.3680043.8.498.22967317446260750509670670173667651637,1.0,-1024.0,-1024,1778,-1024
1.2.826.0.1.3680043.8.498.82852102994568804806241832422541870957,1.2.826.0.1.3680043.8.498.33187657697881615645458997200948801876,1.0,-1024.0,-1024,1755,-1024
1.2.826.0.1.3680043.8.498.83572399958860885188447177245643358908,1.2.826.0.1.3680043.8.498.80009387293933217832962876567054462107,1.0,0.0,-1024,864,-1024
1.2.826.0.1.3680043.8.498.83787042081036385745658715886034140301,1.2.826.0.1.3680043.8.498.42483181192922015167763634063251769081,1.0,-1024.0,-1024,3063,-1017
1.2.826.0.1.3680043.8.498.83953149653006533120820602962689902096,1.2.826.0.1.3680043.8.498.13037861585401395603401083213009427568,1.0,-1024.0,-1024,2020,-995
1.2.826.0.1.3680043.8.498.84268505695856794726788673947539076667,1.2.826.0.1.3680043.8.498.57568768239722651017659333288290091987,1.0,-1024.0,-1024,1732,-1003
1.2.826.0.1.3680043.8.498.86313072489373145684719446081388406922,1.2.826.0.1.3680043.8.498.33114907424154050138088294806353653656,1.0,-1024.0,-1024,1938,-1004
1.2.826.0.1.3680043.8.498.84955070686251417902923705821409495324,1.2.826.0.1.3680043.8.498.54118034181069685019753736943136790383,1.0,-1024.0,-1024,2012,-1018
1.2.826.0.1.3680043.8.498.85065386620220307703077344064424211514,1.2.826.0.1.3680043.8.498.68449290405432451168199646790792592232,1.0,-1024.0,-1024,1738,-1004
1.2.826.0.1.3680043.8.498.85101569939333343673744614970672339917,1.2.826.0.1.3680043.8.498.24521661567209580023152486190059062205,1.0,-1024.0,-1024,2000,-996
1.2.826.0.1.3680043.8.498.85722501618335637418238816805460223934,1.2.826.0.1.3680043.8.498.12874789885184167220463396803300608362,1.0,-1024.0,-1024,2454,-997
1.2.826.0.1.3680043.8.498.85975164946423172309062718421436261046,1.2.826.0.1.3680043.8.498.53969275038819226150822980583344793005,1.0,-1024.0,-1024,2523,-992
1.2.826.0.1.3680043.8.498.86313072489373145684719446081388406922,1.2.826.0.1.3680043.8.498.80212598616180391766602277764209122713,1.0,-1024.0,-1024,1928,-1003
1.2.826.0.1.3680043.8.498.89605985568175294266551393553291853751,1.2.826.0.1.3680043.8.498.29151806423134146168075058111828215795,1.0,-1024.0,-1024,2230,-1004
1.2.826.0.1.3680043.8.498.96815409600781373514618341002311856622,1.2.826.0.1.3680043.8.498.51946336869543168861520243215332893483,1.0,-1024.0,-1024,2896,-1003
1.2.826.0.1.3680043.8.498.96815409600781373514618341002311856622,1.2.826.0.1.3680043.8.498.11949703286090034191152787984625317347,1.0,-1024.0,-1024,2842,-991
1.2.826.0.1.3680043.8.498.96815409600781373514618341002311856622,1.2.826.0.1.3680043.8.498.11949703286090034191152787984625317347,1.0,-1024.0,-1024,2842,-991
1.2.826.0.1.3680043.8.498.97191581480677904605690881854234107618,1.2.826.0.1.3680043.8.498.38497362822477301605331804155880074839,1.0,-1024.0,-1024,1577,-1003
1.2.826.0.1.3680043.8.498.97489937092102052131467733063939259796,1.2.826.0.1.3680043.8.498.44234881353730789512532887395290617871,1.0,-1024.0,-1024,1922,-1001
1.2.826.0.1.3680043.8.498.98327986831235940649362041428150001339,1.2.826.0.1.3680043.8.498.10541142457213753071890219011534388729,1.0,-1024.0,-1024,1880,-996
1.2.826.0.1.3680043.8.498.98546214581883636871625410018415827961,1.2.826.0.1.3680043.8.498.89972185220039131014275656543763005846,1.0,-1024.0,-1024,2241,-1024
1.2.826.0.1.3680043.8.498.98668603099631902666879983418439918239,1.2.826.0.1.3680043.8.498.11036890223951227307464186649850772852,1.0,-1024.0,-1024,2043,-989
1.2.826.0.1.3680043.8.498.98668603099631902666879983418439918239,1.2.826.0.1.3680043.8.498.21399235661902180222567489679881450602,1.0,-1024.0,-1024,2032,-978
1.2.826.0.1.3680043.8.498.99437700549224405450502981801010188187,1.2.826.0.1.3680043.8.498.10874015610611696781850761306595313036,1.0,-1024.0,-1024,1698,-1004
1.2.826.0.1.3680043.8.498.99887675554378211308175946117895608384,1.2.826.0.1.3680043.8.498.10885430363476327277192154022897733247,1.0,-1024.0,-1024,1753,-1024
1.2.826.0.1.3680043.8.498.99887675554378211308175946117895608384,1.2.826.0.1.3680043.8.498.75978746530527925899354153686225196613,1.0,-1024.0,-1024,1805,-1024
1.2.826.0.1.3680043.8.498.99892390884723813599532075083872271516,1.2.826.0.1.3680043.8.498.12398549862508001109149426855485142650,1.0,-1024.0,-1024,2882,-1015
1.2.826.0.1.3680043.8.498.99892390884723813599532075083872271516,1.2.826.0.1.3680043.8.498.12398549862508001109149426855485142650,1.0,-1024.0,-1024,2882,-1015
1.2.826.0.1.3680043.8.498.99892390884723813599532075083872271516,1.2.826.0.1.3680043.8.498.21598979799967012280125410147654260304,1.0,-1024.0,-1024,2044,-989
1.2.826.0.1.3680043.8.498.99892390884723813599532075083872271516,1.2.826.0.1.3680043.8.498.21598979799967012280125410147654260304,1.0,-1024.0,-1024,2044,-989
1.2.826.0.1.3680043.8.498.96513055086816242218229880400412415651,1.2.826.0.1.3680043.8.498.76883971890307583343780044990193301249,1.0,-1024.0,-1024,1562,-1008
1.2.826.0.1.3680043.8.498.96173016751830070506160302682123116086,1.2.826.0.1.3680043.8.498.12952146556301653993383950349105498046,1.0,-1024.0,-1024,1886,-1024
1.2.826.0.1.3680043.8.498.90609368428149511424834815141067338843,1.2.826.0.1.3680043.8.498.81039541194280194003186992439116561559,1.0,-1024.0,-1024,2163,-999
1.2.826.0.1.3680043.8.498.90754941733269755074990523279054101404,1.2.826.0.1.3680043.8.498.20109838512523638420343893017788711629,1.0,-1024.0,-1024,1910,-1000
1.2.826.0.1.3680043.8.498.90846479216555688983465230048087949348,1.2.826.0.1.3680043.8.498.12363464923658984586009421415995543539,1.0,-1024.0,-1024,2741,-1003
1.2.826.0.1.3680043.8.498.90846479216555688983465230048087949348,1.2.826.0.1.3680043.8.498.97253870431719456492816784358497760970,1.0,-1024.0,-1024,3066,-997
1.2.826.0.1.3680043.8.498.90846479216555688983465230048087949348,1.2.826.0.1.3680043.8.498.76812768695498208409225657850017244363,1.0,-1024.0,-1024,2936,-995
